RoomNumber,RoomType,Wifi,Smoking,View
1,SingleRoom,TRUE,FALSE,FALSE
2,SingleRoom,TRUE,FALSE,FALSE
3,SingleRoom,TRUE,FALSE,FALSE
4,SingleRoom,TRUE,FALSE,FALSE
5,SingleRoom,TRUE,FALSE,FALSE
6,SingleRoom,TRUE,FALSE,FALSE
7,SingleRoom,TRUE,FALSE,FALSE
8,SingleRoom,TRUE,FALSE,FALSE
9,SingleRoom,TRUE,FALSE,FALSE
10,SingleRoom,TRUE,FALSE,FALSE
11,SingleRoom,TRUE,FALSE,FALSE
12,SingleRoom,TRUE,FALSE,FALSE
13,DoubleRoom,TRUE,FALSE,FALSE
14,DoubleRoom,TRUE,FALSE,FALSE
15,DoubleRoom,TRUE,FALSE,FALSE
16,DoubleRoom,TRUE,FALSE,FALSE
17,DoubleRoom,TRUE,FALSE,FALSE
18,DoubleRoom,TRUE,FALSE,FALSE
19,DoubleRoom,TRUE,FALSE,FALSE
20,DoubleRoom,TRUE,FALSE,FALSE
21,DoubleRoom,TRUE,FALSE,FALSE
22,DoubleRoom,TRUE,FALSE,FALSE
23,DoubleRoom,TRUE,FALSE,FALSE
24,DoubleRoom,TRUE,FALSE,FALSE
25,Deluxe,TRUE,FALSE,FALSE
26,Deluxe,TRUE,FALSE,FALSE
27,Deluxe,TRUE,FALSE,FALSE
28,Deluxe,TRUE,FALSE,FALSE
29,Deluxe,TRUE,FALSE,FALSE
30,Deluxe,TRUE,FALSE,FALSE
31,Deluxe,TRUE,FALSE,FALSE
32,Deluxe,TRUE,FALSE,FALSE
33,Deluxe,TRUE,FALSE,FALSE
34,Deluxe,TRUE,FALSE,FALSE
35,Deluxe,TRUE,FALSE,FALSE
36,Deluxe,TRUE,FALSE,FALSE
37,VIPSuite,TRUE,FALSE,FALSE
38,VIPSuite,TRUE,FALSE,FALSE
39,VIPSuite,TRUE,FALSE,FALSE
40,VIPSuite,TRUE,FALSE,FALSE
41,VIPSuite,TRUE,FALSE,FALSE
42,VIPSuite,TRUE,FALSE,FALSE
43,VIPSuite,TRUE,FALSE,FALSE
44,VIPSuite,TRUE,FALSE,FALSE
45,VIPSuite,TRUE,FALSE,FALSE
46,VIPSuite,TRUE,FALSE,FALSE
47,VIPSuite,TRUE,FALSE,FALSE
48,VIPSuite,TRUE,FALSE,FALSE
